lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
0.0001,14.00539875,851.190918,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.59170437,663.5771484,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,13.05361176,941.2918701,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.60505676,713.631958,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.63641262,704.0609131,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,12.93069267,656.9310303,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,12.63582611,693.0778198,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,14.40539875,871.190918,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,13.05886402,687.4630737,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.80475712,730.5535889,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.69301315,702.1146851,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.53637886,676.1306152,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.12755013,749.2750854,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,12.88147449,700.687439,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,13.28079987,804.2937622,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,13.15896034,787.4841309,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,13.15361176,941.2918701,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.85056763,719.631958,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.83641262,722.0609131,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,12.99069267,676.9310303,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,13.02147449,743.0778198,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
