Model,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,validation_rate,batch_size,lr,patience,max_epochs,gpus,bidirectional,shuffle,exclude_cols
VT+LSTM,16.58,1808.09,DAT-RUL+sLSTM,40,20,vanilla_attention,lstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
VT+LSTM,16.12,1652.84,DAT-RUL+sLSTM,40,20,vanilla_attention,lstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
VT+LSTM,15.84,1568.17,DAT-RUL+sLSTM,40,20,vanilla_attention,lstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
,16.18,1676.366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT+LSTM,16.07,1613.15,DAT-RUL+sLSTM,40,20,vanilla_attention,slstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
VT+LSTM,15.92,1551.86,DAT-RUL+sLSTM,40,20,vanilla_attention,slstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
VT+LSTM,16.38,1734.24,DAT-RUL+sLSTM,40,20,vanilla_attention,slstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
,16.12333333,1633.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAT+LSTM,12.92,876.26,DAT-RUL+sLSTM,40,20,deg_attention,lstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
DAT+LSTM,12.92,876.26,DAT-RUL+sLSTM,40,20,deg_attention,lstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
DAT+LSTM,12.92,876.26,DAT-RUL+sLSTM,40,20,deg_attention,lstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
,12.92,876.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAT+LSTM,12.95,795.93,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
DAT+LSTM,12.95,795.93,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
DAT+LSTM,12.95,795.93,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.2,128,0.001,50,150,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
,12.95,795.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
